# x	y	u	v	flags	mask
2.5901e-01	4.5794e+00	-3.0540e+00	-1.4795e-02	0.0000e+00	0.0000e+00
4.7659e-01	4.5794e+00	-3.1613e+00	-7.1410e-02	0.0000e+00	0.0000e+00
6.9416e-01	4.5794e+00	-3.4543e+00	-2.2494e-01	0.0000e+00	0.0000e+00
9.1173e-01	4.5794e+00	-3.6384e+00	-4.0784e-01	0.0000e+00	0.0000e+00
1.1293e+00	4.5794e+00	-3.8672e+00	-5.0071e-01	0.0000e+00	0.0000e+00
1.3469e+00	4.5794e+00	-3.9375e+00	-7.1344e-01	0.0000e+00	0.0000e+00
1.5644e+00	4.5794e+00	-4.1555e+00	-8.7804e-01	0.0000e+00	0.0000e+00
1.7820e+00	4.5794e+00	-4.3843e+00	-8.7078e-01	0.0000e+00	0.0000e+00
1.9996e+00	4.5794e+00	-4.2462e+00	-4.8416e-01	1.0000e+00	0.0000e+00
2.2172e+00	4.5794e+00	-4.3943e+00	-7.5562e-01	0.0000e+00	0.0000e+00
